PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Josh Jacobs,RB,GB,0,,0,0,0,0,0,94.3,391.4,4.2,,15.5,11.9,92.4,0.5,88.5
Brian Robinson,RB,ATL,0,,0,0,0,0,0,113.5,467.6,3.9,,10.2,8.3,56.1,0.1,84.7
Dylan Sampson,RB,CLE,0,,0,0,0,0,0,71.1,279.7,1.4,,35.7,29.8,206.6,1.1,93.4
Tre Tucker,WR,LV,0,,0,0,0,0,0,9,50,0.2,,80,47.4,626.4,3,134.2
Jalen McMillan,WR,TB,0,,0,0,0,0,0,4.1,24.3,0.1,,73.6,46.1,599.5,3.9,132.5
Dontayvion Wicks,WR,PHI,0,,0,0,0,0,0,0,0,0,,74.3,45.9,592,4,129.1
Nicholas Singleton,RB,TEN,0,,0,0,0,0,0,74.8,320.8,2.2,,27.6,21.5,156.2,0.7,86.6
Adonai Mitchell,WR,NYJ,0,,0,0,0,0,0,2.5,11.7,0,,77.5,43.6,605,3.4,125.7
Braelon Allen,RB,NYJ,0,,0,0,0,0,0,85.7,359.9,3,,16.9,13.7,96.3,0.4,79.7
Kayshon Boutte,WR,HOU,0,,0,0,0,0,0,0,0,0,,62.9,41.9,570,4.1,123.5
Ray Davis,RB,BUF,0,,0,0,0,0,0,79.9,338.6,2.1,,19.7,15.8,118.6,0.6,77.7
Tre' Harris,WR,LAC,0,,0,0,0,0,0,0,0,0,,68.6,43.4,553.7,3.6,120.4
Ja'Kobi Lane,WR,BAL,0,,0,0,0,0,0,0,0,0,,62.9,38.9,544.1,3.8,116.1
Alvin Kamara,RB,NO,0,,0,0,0,0,0,75,297.4,1.7,,26.4,21,143,0.6,78.8
Malachi Fields,WR,NYG,0,,0,0,0,0,0,0,0,0,,63.5,43.2,553.3,3.2,117.7
Jalen Nailor,WR,LV,0,,0,0,0,0,0,1,5.3,0,,72.4,42.4,554,3.1,116.9
Kaelon Black,RB,SF,0,,0,0,0,0,0,77,326.3,2.1,,19.3,15.4,119.8,0.5,75.6
Pat Bryant,WR,DEN,0,,0,0,0,0,0,0,0,0,,69.3,43.1,518.2,3.4,115.3
Cyrus Allen,WR,KC,0,,0,0,0,0,0,1.7,7.6,0,,77.3,42.2,535.4,3,114.5
Ryan Flournoy,WR,DAL,0,,0,0,0,0,0,1.1,6.8,0,,63.4,42.3,496.7,3.6,114.3
Kaleb Johnson,RB,GB,0,,0,0,0,0,0,72.4,291.1,2,,23.2,18.1,122.2,0.6,75
Omar Cooper Jr.,WR,NYJ,0,,0,0,0,0,0,0.9,5.1,0,,61.9,41.8,516.5,3.2,113.2
Caleb Douglas,WR,MIA,0,,0,0,0,0,0,0.9,3.1,0,,67.5,41.2,549.1,2.6,112
Jerry Jeudy,WR,CLE,0,,0,0,0,0,0,0.8,3.3,0,,72.2,39.6,528.3,2.6,108.4
Jauan Jennings,WR,MIN,0,,0,0,0,0,0,0,0,0,,66.7,42.6,493.2,2.8,108.7
Kaytron Allen,RB,WAS,0,,0,0,0,0,0,73.7,310.2,1.5,,18.2,14.6,104.6,0.4,67.5
Jaylin Noel,WR,HOU,0,,0,0,0,0,0,3.1,16.8,0,,62.2,41.4,463.5,2.5,104.4
